customer_id,Email_Interractions,purchaseDate,productid,Product_name,Country,Revenue,Cost
41855,No,2016-01-03 10:56,1020,apple sport watch,United States,219,108.78
42060,No,2016-01-03 13:22,1150,samsung sound system,United States,230,108.78
42017,No,2016-01-03 14:03,1150,samsung sound system,United States,230,108.78
45060,No,2016-01-04 07:52,1230,polk audio speakers,United Kingdom,100,108.64
48247,No,2016-01-04 17:04,1330,vaddio camera,United Kingdom,4000,108.64
52011,No,2016-01-06 11:23,1020,apple sport watch,United States,219,108.78
50810,No,2016-01-06 14:54,1080,lenovo laptop computer,Canada,1100,108.72
57540,No,2016-01-07 15:32,1370,fuji digital camera,Canada,2000,108.72
58507,No,2016-01-07 23:09,1370,fuji digital camera,United States,2000,108.78
58505,No,2016-01-07 23:34,1230,polk audio speakers,United States,100,108.78
59211,No,2016-01-08 02:11,1370,fuji digital camera,United States,2000,108.78
51811,No,2016-01-10 12:30,1020,apple sport watch,United States,219,108.78
66091,No,2016-01-10 19:37,1110,Sony  65 inch TV,United States,2300,108.78
66419,No,2016-01-10 19:51,1110,Sony  65 inch TV,United States,2300,108.78
7097,No,2016-01-11 18:00,1370,fuji digital camera,United States,2000,108.78
68879,No,2016-01-12 11:07,1020,apple sport watch,United States,219,108.78
5577,No,2016-01-12 17:56,1370,fuji digital camera,United States,2000,108.78
72750,No,2016-01-12 22:22,1370,fuji digital camera,United States,2000,108.78
60501,No,2016-01-12 22:51,1020,apple sport watch,United States,219,108.78
71677,No,2016-01-13 12:49,1020,apple sport watch,Netherlands,219,108.58
78519,No,2016-01-13 14:26,1020,apple sport watch,United States,219,108.78
80769,No,2016-01-14 02:50,1140,vizio 65 inch TV,United States,1300,108.78
80769,No,2016-01-14 02:58,1110,Sony  65 inch TV,United States,2300,108.78
80769,No,2016-01-14 03:08,1310,WWE 2k17,United States,60,108.78
70979,No,2016-01-14 04:56,1150,samsung sound system,Australia,230,108.66
6767,No,2016-01-15 00:25,1370,fuji digital camera,United States,2000,108.78
84511,No,2016-01-15 03:12,1110,Sony  65 inch TV,United States,2300,108.78
90101,No,2016-01-16 19:22,1150,samsung sound system,United States,230,108.78
94075,No,2016-01-17 02:00,1070,apple macbook air computer,India,1200,108.52
6890,No,2016-01-17 15:37,1370,fuji digital camera,United States,2000,108.78
597,No,2016-01-18 15:28,1230,polk audio speakers,United States,100,108.78
861,No,2016-01-19 06:48,1230,polk audio speakers,United States,100,108.78
99705,No,2016-01-19 14:40,1150,samsung sound system,United States,230,108.78
17247,No,2016-01-23 18:01,1230,polk audio speakers,United States,100,108.78
21059,No,2016-01-23 21:39,1150,samsung sound system,United States,230,108.78
21059,No,2016-01-23 21:41,1110,Sony  65 inch TV,United States,2300,108.78
