customer_id,create_date,first_promo_date,email1,email2,email3,email4,email5,email6,email7
4555,2016-01-01 02:56:35,NULL,0,0,0,0,0,0,0
5269,2016-01-01 10:59:18,2016-01-05 10:59:18,0,0,0,0,0,0,0
5525,2016-01-01 12:14:59,2016-01-05 12:14:59,0,0,0,0,0,0,0
5577,2016-01-01 12:32:57,2016-01-05 12:32:57,0,0,0,0,0,0,0
6007,2016-01-01 17:53:54,2016-01-05 17:53:54,0,0,0,0,0,0,0
6767,2016-01-01 21:17:26,2016-01-05 21:17:26,0,0,0,0,0,0,0
6801,2016-01-01 21:30:00,2016-01-05 21:30:00,0,0,0,0,0,0,0
6890,2016-01-01 22:15:46,2016-01-05 22:15:46,0,0,0,0,0,0,0
7097,2016-01-01 23:36:32,2016-01-05 23:36:32,0,0,0,0,0,0,0
7190,2016-01-02 00:14:07,2016-01-06 00:14:07,0,0,0,0,0,0,0
7577,2016-01-02 03:40:22,NULL,0,0,0,0,0,0,0
8061,2016-01-02 08:01:58,2016-01-06 08:01:58,0,0,0,0,0,0,0
8621,2016-01-02 12:32:39,2016-01-06 12:32:39,0,0,0,0,0,0,0
40010,2016-01-02 22:14:39,2016-01-06 22:14:39,0,0,0,0,0,0,0
9989,2016-01-02 22:00:31,2016-01-06 22:00:31,0,0,0,0,0,0,0
40121,2016-01-02 23:19:41,2016-01-06 23:19:41,0,0,0,0,0,0,0
40211,2016-01-03 00:03:12,2016-01-07 00:03:12,0,0,0,0,0,0,0
41091,2016-01-03 03:27:00,2016-01-07 03:27:00,0,0,0,0,0,0,0
41120,2016-01-03 04:00:04,2016-01-07 04:00:04,0,0,0,0,0,0,0
41711,2016-01-03 09:46:49,NULL,0,0,0,0,0,0,0
41801,2016-01-03 10:41:52,NULL,0,0,0,0,0,0,0
41855,2016-01-03 10:53:04,2016-01-07 10:53:04,0,0,0,0,0,0,0
41919,2016-01-03 11:25:23,2016-01-07 11:25:23,0,0,0,0,0,0,0
41969,2016-01-03 11:45:27,2016-01-07 11:45:27,0,0,0,0,0,0,0
42060,2016-01-03 12:23:29,2016-01-07 12:23:29,0,0,0,0,0,0,0
42017,2016-01-03 14:03:41,2016-01-07 14:03:41,0,0,0,0,0,0,0
40069,2016-01-03 16:22:20,NULL,0,0,0,0,0,0,0
40275,2016-01-03 16:39:19,NULL,0,0,0,0,0,0,0
